종목코드,종목명,자기주식 제외 시가총액(A*B),종가,자기주식 제외 발행주식수(B=C-D),총발행주식수(C),자기주식수(D),자기주식수 반영시점
"060310","3S","72107235360","1359","53059040","53059040","0","2025-09"
"095570","AJ네트웍스","242103180500","5410","44751050","45252759","501709","2025-09"
"006840","AK홀딩스","114800356000","8800","13045495","13247561","202066","2025-09"
"054620","APS","80855133100","5270","15342530","18394221","3051691","2025-09"
"265520","AP시스템","338680328600","22900","14789534","15050821","261287","2025-09"
"211270","AP위성","264594462990","18590","14233161","15082304","849143","2025-09"
"139050","BF랩스","24234697905","2805","8639821","8644551","4730","2025-09"
"027410","BGF","417290219760","4360","95708766","95716791","8025","2025-09"
"282330","BGF리테일","2366677055000","137000","17275015","17283906","8891","2025-09"
"126600","BGF에코머티리얼즈","238717791000","3855","61924200","62766899","842699","2025-09"
"138930","BNK금융지주","6973414797450","22650","307877033","310327033","2450000","2025-09"
"001460","BYC","357738548000","58000","6167906","6246150","78244","2025-09"
"083790","CG인바이츠","95194997316","1238","76894182","76894182","0","2025-09"
"001040","CJ","6101681602500","225500","27058455","29176998","2118543","2025-09"
"079160","CJ CGV","978590157810","5910","165582091","165582091","0","2025-09"
"035760","CJ ENM","1566236099500","75500","20744849","21929154","1184305","2025-09"
"311690","CJ 바이오사이언스","116935884900","8950","13065462","13065462","0","2025-09"
"000120","CJ대한통운","2768383905200","138800","19945129","22812344","2867215","2025-09"
"011150","CJ씨푸드","105816126485","2945","35930773","35930773","0","2025-09"
"097950","CJ제일제당","3248010259000","221000","14696879","15054186","357307","2025-09"
"051500","CJ프레시웨이","401259606800","33800","11871586","11871586","0","2025-09"
"058820","CMG제약","316382271620","2140","147842183","147842183","0","2025-09"
"056730","CNT85","38085803806","547","69626698","74111186","4484488","2025-09"
"000480","CR홀딩스","206076477240","4995","41256552","46890490","5633938","2025-09"
"065770","CS","15237737050","785","19411130","19411130","0","2025-09"
"083660","CSA 코스믹","21836093148","359","60824772","62829459","2004687","2025-09"
"000590","CS홀딩스","90401601800","87800","1029631","1154482","124851","2025-09"
"012030","DB","370599234020","1940","191030533","201173933","10143400","2025-09"
"477760","DB금융스팩12호","13023200000","2230","5840000","5840000","0","2025-09"
"005830","DB손해보험","11274062288700","192300","58627469","69384000","10756531","2025-09"
"016610","DB증권","703044909450","17550","40059539","42446389","2386850","2025-09"
"000990","DB하이텍","3743026521000","93000","40247597","43504588","3256991","2025-09"
"099520","DGI","58000622016","1284","45171824","45281824","110000","2025-09"
"000300","DH오토넥스","174035631000","4200","41437055","41437055","0","2025-09"
"290120","DH오토리드","45811200855","2895","15824249","15824249","0","2025-09"
"025440","DH오토웨어","48045223845","985","48776877","48781224","4347","2025-09"
"001530","DI동일","489225235200","24800","19726824","19729280","2456","2025-09"
"015590","DKME","122045493615","515","236981541","236981544","3","2025-09"
"000210","DL","1050722495400","50200","20930727","20955884","25157","2025-09"
"375500","DL이앤씨","1951764063000","50900","38345070","38693623","348553","2025-09"
"068790","DMS","135799547250","6330","21453325","22570224","1116899","2025-09"
"007340","DN오토모티브","1625335278000","31400","51762270","58510865","6748595","2025-09"
"004840","DRB동일","117561420400","6100","19272364","19930000","657636","2025-09"
"241520","DSC인베스트먼트","379532253990","14710","25800969","27000000","1199031","2025-09"
"155660","DSR","65200000000","4075","16000000","16000000","0","2025-09"
"069730","DSR제강","62856000000","4365","14400000","14400000","0","2025-09"
"017860","DS단석","338310674640","19340","17492796","17584212","91416","2025-09"
"180400","DXVX","502970636560","5110","98428696","98429432","736","2025-09"
"092780","DYP","63735706600","5050","12620932","13168460","547528","2025-09"
"017940","E1","650446987500","112500","5781751","6860000","1078249","2025-09"
"418620","E8","25944573439","1307","19850477","19850477","0","2025-09"
"245620","EDGC","57441040175","415","138412145","138493951","81806","2025-09"
"037370","EG","52439829760","6080","8624972","8624972","0","2025-09"
"050120","ES큐브","36632882645","2735","13394107","13564086","169979","2025-09"
"383220","F&F","2635089537600","70200","37536888","38307075","770187","2025-09"
"007700","F&F홀딩스","841956194150","21550","39069893","39114367","44474","2025-09"
"214270","FSN","86851763880","1988","43688010","43690959","2949","2025-09"
"130500","GH신소재","40217016245","2765","14545033","14545052","19","2025-09"
"114090","GKL","825773194500","13350","61855670","61855670","0","2025-09"
"078930","GS","7032188971500","75700","92895495","92915378","19883","2025-09"
"083450","GST","533596659750","29850","17875935","18430000","554065","2025-09"
"006360","GS건설","1948200140250","22950","84888895","85581490","692595","2025-09"
"001250","GS글로벌","217787333280","2640","82495202","82533764","38562","2025-09"
"007070","GS리테일","1880225775000","22500","83565590","83607415","41825","2025-09"
"499790","GS피앤엘","1161357194000","58700","19784620","19830841","46221","2025-09"
"297890","HB솔루션","167858397630","2295","73140914","73140914","0","2025-09"
"440290","HB인베스트먼트","61614403200","2240","27506430","27506430","0","2025-09"
"078150","HB테크놀러지","188371790160","2120","88854618","92715916","3861298","2025-09"
"225530","HC보광산업","103928255860","2860","36338551","36338727","176","2025-09"
"060560","HC홈센타","89483238119","709","126210491","126940008","729517","2025-09"
"012630","HDC","1150914548250","23250","49501701","59741721","10240020","2025-09"
"039570","HDC랩스","195282000500","8500","22974353","25957601","2983248","2025-09"
"089470","HDC현대EP","155918000000","6020","25900000","31900000","6000000","2025-09"
"294870","HDC현대산업개발","1532971771500","24050","63741030","65907330","2166300","2025-09"
"267270","HD건설기계","6956247110000","145000","47974118","47974118","0","2025-09"
"009540","HD한국조선해양","31963012760000","452000","70714630","70773116","58486","2025-09"
"267250","HD현대","20635181560000","292000","70668430","78993085","8324655","2025-09"
"443060","HD현대마린솔루션","7948595695500","177300","44831335","44831335","0","2025-09"
"071970","HD현대마린엔진","3059716864600","90200","33921473","33921495","22","2025-09"
"322000","HD현대에너지솔루션","966560000000","86300","11200000","11200000","0","2025-09"
"267260","HD현대일렉트릭","36388623744000","1011000","35992704","36047135","54431","2025-09"
"329180","HD현대중공업","63186657450000","602000","104961225","104961225","0","2025-09"
"376270","HEM파마","583061405100","81300","7171727","7181727","10000","2025-09"
"097230","HJ중공업","2424270470550","26850","90289403","90295344","5941","2025-09"
"195940","HK이노엔","1611970797900","56900","28329891","28329891","0","2025-09"
"014790","HL D&I","131558638475","3475","37858601","37858601","0","2025-09"
"028300","HLB","7108089394000","53500","132861484","133117504","256020","2025-09"
"003580","HLB글로벌","105367901600","2080","50657645","50663505","5860","2025-09"
"278650","HLB바이오스텝","105081267168","1244","84470472","87005539","2535067","2025-09"
"067630","HLB생명과학","495917851660","4070","121847138","121917058","69920","2025-09"
"024850","HLB이노베이션","448308219360","3040","147469809","147476833","7024","2025-09"
"187420","HLB제넥스","84688607200","2900","29202968","29202968","0","2025-09"
"047920","HLB제약","535931983500","16340","32798775","32799356","581","2025-09"
"115450","HLB테라퓨틱스","246835088220","2940","83957513","84382263","424750","2025-09"
"046210","HLB파나진","86667066524","1906","45470654","45470654","0","2025-09"
"196300","HLB펩","75183589820","8090","9293398","9293398","0","2025-09"
"204320","HL만도","2808035776000","59800","46957120","46957120","0","2025-09"
"060980","HL홀딩스","426974043600","46800","9123377","9213477","90100","2025-09"
"011200","HMM","21835959005500","23150","943237970","943237970","0","2025-09"
"403870","HPSP","3729919833000","45900","81261870","83999120","2737250","2025-09"
"036640","HRS","85662260400","5360","15981765","16354800","373035","2025-09"
"035000","HS애드","137876547300","8700","15847879","16207644","359765","2025-09"
"002460","HS화성","131559733100","13900","9464729","10150000","685271","2025-09"
"487570","HS효성","241646000400","65200","3706227","3725927","19700","2025-09"
"298050","HS효성첨단소재","1137111599000","254500","4468022","4479948","11926","2025-09"
"467930","IBKS제23호스팩","9496350000","2245","4230000","4230000","0","2025-09"
"469480","IBKS제24호스팩","9602100000","2270","4230000","4230000","0","2025-09"
"0099X0","IBKS제25호스팩","13036400000","2180","5980000","5980000",,"자료 없음"
"015360","INVENI","374207700000","84300","4439000","5700000","1261000","2025-09"
"095340","ISC","3826803904000","187000","20464192","21197058","732866","2025-09"
"175330","JB금융지주","6982466175000","37500","186199098","189884601","3685503","2025-09"
"234080","JW생명과학","210899625480","13620","15484554","15834554","350000","2025-09"
"067290","JW신약","138583702000","2480","55880525","56037103","156578","2025-09"
"001060","JW중외제약","880558677900","39050","22549518","23285930","736412","2025-09"
"096760","JW홀딩스","305131547070","4410","69190827","73924942","4734115","2025-09"
"035900","JYP Ent.","2345820577200","70800","33133059","35532492","2399433","2025-09"
"318000","KBG","38103201180","4380","8699361","8740223","40862","2025-09"
"008970","KBI동양철관","196085666700","1890","103749030","103766907","17877","2025-09"
"024840","KBI메탈","64276259445","1845","34838081","34909199","71118","2025-09"
"105560","KB금융","59677607197600","168800","353540327","372850455","19310128","2025-09"
"024120","KB오토시스","42205000000","3670","11500000","11500000","0","2025-09"
"464680","KB제27호스팩","27100500000","2100","12905000","12905000","0","2025-09"
"478390","KB제29호스팩","13186400000","2120","6220000","6220000","0","2025-09"
"486630","KB제30호스팩","11230650000","2115","5310000","5310000","0","2025-09"
"492220","KB제31호스팩","12947850000","2085","6210000","6210000","0","2025-09"
"0037T0","KB제32호스팩","12913200000","2040","6330000","6330000","0","2025-09"
"0072Z0","KB제33호스팩","15809425000","2005","7885000","7885000","0","2025-09"
"002380","KCC","4287481693000","583000","7354171","8886471","1532300","2025-09"
"021320","KCC건설","139618052000","7000","19945436","21400000","1454564","2025-09"
"344820","KCC글라스","483082989900","30300","15943333","15970512","27179","2025-09"
"009070","KCTC","225600000000","7520","30000000","30000000","0","2025-09"
"009440","KC그린홀딩스","17334430596","756","22929141","23239141","310000","2025-09"
"119650","KC코트렐","100782913662","918","109785309","109785309","0","2025-09"
"044180","KD","9829718288","368","26711191","26717799","6608","2025-09"
"092220","KEC","146356329789","729","200763141","200763141","0","2025-09"
"046440","KG모빌리언스","203684680900","5650","36050386","38010802","1960416","2025-09"
"003620","KG모빌리티","865152748800","4275","202374912","202374912","0","2025-09"
"016380","KG스틸","603921901440","6240","96782356","100008897","3226541","2025-09"
"151860","KG에코솔루션","303342595770","7230","41956099","47603002","5646903","2025-09"
"035600","KG이니시스","317026192080","11910","26618488","27554434","935946","2025-09"
"001390","KG케미칼","392682269000","5950","65997020","67233030","1236010","2025-09"
"060720","KH바텍","361854797640","16420","22037442","23677442","1640000","2025-09"
"001940","KISCO홀딩스","315891589500","25250","12510558","14176380","1665822","2025-09"
"058400","KNN","112830121440","852","132429720","132429720","0","2025-09"
"025000","KPX케미칼","239077511400","54600","4378709","4378709","0","2025-09"
"092230","KPX홀딩스","345125906600","87400","3948809","4224646","275837","2025-09"
"000040","KR모터스","34890884704","404","86363576","86375184","11608","2025-09"
"044450","KSS해운","254222931500","11260","22577525","23085880","508355","2025-09"
"101000","KS인더스트리","42790173440","1280","33429823","33446802","16979","2025-09"
"030200","KT","16611449840700","68900","241095063","252021685","10926622","2025-09"
"033780","KT&G","18327661752400","177100","103487644","117976645","14489001","2025-09"
"058850","KTcs","109263539520","2880","37938729","42685000","4746271","2025-09"
"058860","KTis","91093851450","2975","30619782","34802000","4182218","2025-09"
"089600","KT나스미디어","154442268540","13660","11306169","11568163","261994","2025-09"
"418470","KT밀리의서재","129857361240","15160","8565789","8565789","0","2025-09"
"043610","KT지니뮤직","108908330812","1874","58115438","58115438","0","2025-09"
"122450","KX","157566865440","3680","42817083","44819834","2002751","2025-09"
"052900","KX하이텍","94074575504","1456","64611659","65374456","762797","2025-09"
"036560","KZ정밀","222862500000","14150","15750000","15750000","0","2025-09"
"061970","LB세미콘","291249005750","5150","56553205","58083006","1529801","2025-09"
"309960","LB인베스트먼트","157748738980","6860","22995443","23217239","221796","2025-09"
"093050","LF","621308806200","23300","26665614","29240000","2574386","2025-09"
"003550","LG","14892412394000","98500","151192004","154221585","3029581","2025-09"
"034220","LG디스플레이","6655000000000","13310","500000000","500000000","0","2025-09"
"051900","LG생활건강","4002121305000","273000","14659785","15302459","642674","2025-09"
"064400","LG씨엔에스","6937033876800","71600","96885948","96885948","0","2025-09"
"373220","LG에너지솔루션","93951000000000","401500","234000000","234000000","0","2025-09"
"032640","LG유플러스","7490421487500","17500","428024085","429828355","1804270","2025-09"
"011070","LG이노텍","6058113792000","256000","23664507","23667107","2600","2025-09"
